censusid,tractid,poverty_rank,unemployed_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12009065236,12009065236,0.217891249,0.466115702,0.99152212,0.252386519,1.927915591,0.541804861
1400000US12009066101,12009066101,0.071038784,0.04647545,0.896706295,0.644067797,1.658288325,0.46560402
1400000US12009066103,12009066103,0.365230949,0.12134176,0.752192555,0.119228521,1.357993785,0.380736132
1400000US12009066104,12009066104,0.115864354,0.667768595,0.830832196,0.194817845,1.809282991,0.508277451
1400000US12009066200,12009066200,0.212629117,0.350024307,0.833755603,0.758036236,2.154445264,0.605825655
1400000US12009066301,12009066301,0.244104463,0.464171123,0.542097057,0.399961036,1.65033368,0.463355914
1400000US12009066302,12009066302,0.181056324,0.13650948,0.840089651,0.668322618,1.825978074,0.51299574
1400000US12009066400,12009066400,0.48967063,0.651725814,0.653868642,0.582992402,2.378257487,0.669078456
1400000US12009066500,12009066500,0.338530501,0.704035002,0.55768856,0.48285603,2.083110093,0.585665231
1400000US12009066600,12009066600,0.122490743,0.269518717,0.910836094,0.740015585,2.042861139,0.574290253
1400000US12009066700,12009066700,0.079516663,0.448420029,0.541512376,0.808396649,1.877845717,0.52765434
1400000US12009066800,12009066800,0.238160203,0.171998055,0.17209121,0.412916423,0.995165892,0.27819535
1400000US12009066900,12009066900,0.117326057,0.558580457,0.821574742,0.81823495,2.315716206,0.651403321
1400000US12009067100,12009067100,0.370687975,0.608847837,0.003020854,0.157218001,1.139774667,0.31906403
1400000US12009068101,12009068101,0.534983434,0.385901799,0.21818359,0.764465225,1.903534048,0.534914259
1400000US12009068102,12009068102,0.148606509,0.174039864,0.681641006,0.646795246,1.651082625,0.463567578
1400000US12009068200,12009068200,0.215649971,0.210014584,0.588579224,0.668420027,1.682663807,0.472492909
1400000US12009068300,12009068300,0.154745664,0.093728731,0.490937439,0.488895383,1.228307217,0.344084699
1400000US12009068400,12009068400,0.311732606,0.828488089,0.490547652,0.68712254,2.317890887,0.65201792
1400000US12009068501,12009068501,0.246540635,0.05493437,0.33073475,0.434443795,1.06665355,0.29839887
1400000US12009068502,12009068502,0.483726369,0.246864366,0.143052037,0.763880771,1.637523543,0.459735571
1400000US12009068601,12009068601,0.393490548,0.365678172,0.535957903,0.429573349,1.724699972,0.48437298
1400000US12009068602,12009068602,0.727830832,0.226835197,0.389397778,0.333333333,1.677397141,0.471004467
1400000US12009069100,12009069100,0.117033717,0.624890617,0.976417852,0.681375414,2.3997176,0.675143416
1400000US12009069200,12009069200,0.351490937,0.493923189,0.524556617,0.877556984,2.247527727,0.632132201
1400000US12009069300,12009069300,0.455076983,0.245114244,0.837263691,0.598675239,2.136130157,0.600649522
1400000US12009069400,12009069400,0.069479634,0.622362664,0.936172286,0.40142217,2.029436754,0.570496314
1400000US12009069700,12009069700,0.713408692,0.919786096,0.353634769,0.76222482,2.749054377,0.7738714
1400000US12009069801,12009069801,0.157961411,0.165580943,0.946209316,0.574712644,1.844464314,0.518220238
1400000US12009069802,12009069802,0.693334633,0.867476908,0.381407133,0.857588155,2.799806829,0.788214828
1400000US12009069901,12009069901,0.268563633,0.545843461,0.7601832,0.139879213,1.714469507,0.481481692
1400000US12009069902,12009069902,0.5579809,0.51939718,0.309588774,0.564095071,1.951061926,0.548346374
1400000US12009071100,12009071100,0.422822062,0.32698104,0.974761255,0.143093707,1.867658065,0.524775151
1400000US12009071200,12009071200,0.246735529,0.801652893,0.809004093,0.037015391,1.894407905,0.53233507
1400000US12009071301,12009071301,0.181641006,0.082741857,0.908497369,0.189557763,1.362437995,0.381992135
1400000US12009071322,12009071322,0.60816605,0.521438989,0.521828104,0.082700175,1.734133317,0.487038989
1400000US12009071332,12009071332,0.590138375,0.862615459,0.575716235,0.030099357,2.058569426,0.578729658
1400000US12009071334,12009071334,0.43042292,0.299854157,0.716819333,0.133547633,1.580644042,0.443660543
1400000US12009071335,12009071335,0.101052426,0.73835683,0.967550185,0.057081629,1.864041071,0.523752932
1400000US12009071336,12009071336,0.354804132,0.643461351,0.620152017,0.277907656,1.896325157,0.532876915
1400000US12009071337,12009071337,0.334145391,0.718327662,0.595400507,0.066335476,1.714209035,0.481408079
1400000US12009071338,12009071338,0.387741181,0.315799708,0.779964919,0.029320086,1.512825894,0.424494084
1400000US12009071339,12009071339,0.179594621,0.431210501,0.795751316,0.017241379,1.423797817,0.399333371
1400000US12009071340,12009071340,0.35831222,0.581915411,0.85421945,0.075686733,1.870133814,0.525474836
1400000US12009071400,12009071400,0.736795946,0.826446281,0.14578055,0.705143191,2.414165968,0.679226749
1400000US12009071500,12009071500,0.413272267,0.703159942,0.448937829,0.764075589,2.329445626,0.655283468
1400000US12009071600,12009071600,0.670142272,0.724939232,0.347105827,0.66004286,2.402230192,0.675853513
1400000US12011010102,12011010102,0.318846229,0.284200292,0.757844475,0.907656341,2.268547337,0.638072668
1400000US12011010103,12011010103,0.33950497,0.455712202,0.597349445,0.918176505,2.310743122,0.64999785
1400000US12011010104,12011010104,0.328006237,0.095867769,0.321477295,0.72969024,1.47504154,0.41381564
1400000US12011010200,12011010200,0.543656207,0.75731648,0.382186708,0.936586791,2.619746187,0.737326902
1400000US12011010304,12011010304,0.686318456,0.959941663,0.261547457,0.767582311,2.675389886,0.753052674
1400000US12011010305,12011010305,0.727343598,0.573359261,0.0344962,0.423436587,1.758635645,0.493963727
1400000US12011010306,12011010306,0.769148314,0.879144385,0.180179302,0.650301968,2.478773969,0.69748597
1400000US12011010307,12011010307,0.818748782,0.884103063,0.065289417,0.59672706,2.364868322,0.66529447
1400000US12011010308,12011010308,0.118397973,0.177540107,0.187487819,0.212156634,0.695582533,0.193528453
1400000US12011010401,12011010401,0.407717794,0.639086048,0.548625999,0.134132086,1.729561927,0.485747044
1400000US12011010402,12011010402,0.583219645,0.312202236,0.831124537,0.916423144,2.642969563,0.743890188
1400000US12011010403,12011010403,0.683979731,0.185318425,0.946501657,0.984122346,2.799922158,0.788247422
1400000US12011010405,12011010405,0.426427597,0.866407389,0.406743325,0.619228521,2.318806833,0.65227678
1400000US12011010406,12011010406,0.331319431,0.205930967,0.443480803,0.085135398,1.0658666,0.298176465
1400000US12011010407,12011010407,0.270512571,0.643655809,0.432176964,0.245762712,1.592108055,0.446900451
1400000US12011010502,12011010502,0.156402261,0.251434127,0.209900604,0.19890902,0.816646012,0.227742868
1400000US12011010503,12011010503,0.025725979,0.306368498,0.952835705,0.056204948,1.34113513,0.375971615
1400000US12011010504,12011010504,0.122198402,0.722411279,0.627850322,0.048217417,1.520677419,0.426713047
1400000US12011010601,12011010601,0.038296628,0.107924161,0.602124342,0.044515878,0.79286101,0.221020857
1400000US12011010603,12011010603,0.222276359,0.526494895,0.732313389,0.055620495,1.536705139,0.431242729
1400000US12011010604,12011010604,0.142369908,0.700340301,0.549892808,0.044418469,1.437021487,0.403070585
1400000US12011010605,12011010605,0.006723836,0.753038405,0.96677061,0.052795636,1.779328487,0.499811844
1400000US12011010606,12011010606,0.219352953,0.875644142,0.28337556,0.015488019,1.393860674,0.39087267
1400000US12011010607,12011010607,0.212434223,0.617209528,0.268855973,0.07412819,1.172627915,0.328348867
1400000US12011010609,12011010609,0.503118301,0.670199319,0.326447086,0.07500487,1.574769577,0.442000328
1400000US12011010610,12011010610,0.1473397,0.414389888,0.730559345,0.229787649,1.522076582,0.427108472
1400000US12011010611,12011010611,0.193237186,0.405736509,0.846618593,0.016656926,1.462249214,0.410200331
1400000US12011010612,12011010612,0.005067238,0.811764706,0.60124732,0.031170855,1.44925012,0.406526586
1400000US12011010701,12011010701,0.546969402,0.892075839,0.392808419,0.713617767,2.545471427,0.716335705
1400000US12011010702,12011010702,0.753264471,0.85590666,0.383161177,0.642606663,2.634938971,0.741620618
1400000US12011010800,12011010800,0.648119275,0.902479339,0.364548821,0.82729398,2.742441415,0.772002474
1400000US12011010901,12011010901,0.131163516,0.160136121,0.838335607,0.853984025,1.983619268,0.557547583
1400000US12011010902,12011010902,0.162346521,0.23694701,0.649580978,0.901129944,1.950004453,0.548047516
1400000US12011011000,12011011000,0.162443968,0.075546913,0.755700643,0.71157218,1.705263704,0.47887999
1400000US12011020101,12011020101,0.234652115,0.825182304,0.279087897,0.266803039,1.605725355,0.450748911
1400000US12011020103,12011020103,0.458585071,0.787360233,0.249269148,0.31823495,1.813449403,0.509454944
1400000US12011020104,12011020104,0.669849932,0.544190569,0.179399727,0.161309176,1.554749404,0.436342317
1400000US12011020204,12011020204,0.39592672,0.010695187,0.581757942,0.340346776,1.328726625,0.372464779
1400000US12011020205,12011020205,0.279282791,0.66067088,0.500292341,0.163257354,1.603503366,0.450120942
1400000US12011020206,12011020206,0.584291561,0.850947982,0.537906841,0.812293006,2.78543939,0.784154368
1400000US12011020207,12011020207,0.62882479,0.521536218,0.881796921,0.697350477,2.729508406,0.768347405
1400000US12011020209,12011020209,0.495809784,0.720563928,0.256480218,0.812390415,2.285244345,0.642791501
1400000US12011020210,12011020210,0.275969597,0.898492951,0.691678035,0.978764855,2.844905438,0.800960394
