censusid,tractid,poverty_rank,unemployed_rank,earnings_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12009071335,12009071335,0.101052426,0.73835683,0.299990251,0.967550185,0.057081629,2.164031321,0.461959709
1400000US12009071336,12009071336,0.354804132,0.643461351,0.585453836,0.620152017,0.277907656,2.481778993,0.535451723
1400000US12009071337,12009071337,0.334145391,0.718327662,0.510968119,0.595400507,0.066335476,2.225177155,0.476102159
1400000US12009071338,12009071338,0.387741181,0.315799708,0.586233792,0.779964919,0.029320086,2.099059686,0.446932388
1400000US12009071339,12009071339,0.179594621,0.431210501,0.460856001,0.795751316,0.017241379,1.884653817,0.397342349
1400000US12009071340,12009071340,0.35831222,0.581915411,0.485034611,0.85421945,0.075686733,2.355168424,0.506167903
1400000US12009071400,12009071400,0.736795946,0.826446281,0.736082675,0.14578055,0.705143191,3.150248643,0.690062395
1400000US12009071500,12009071500,0.413272267,0.703159942,0.344447694,0.448937829,0.764075589,2.673893321,0.57988594
1400000US12009071600,12009071600,0.670142272,0.724939232,0.471190407,0.347105827,0.66004286,2.873420598,0.626034701
1400000US12011010102,12011010102,0.318846229,0.284200292,0.228234377,0.757844475,0.907656341,2.496781713,0.53892171
1400000US12011010103,12011010103,0.33950497,0.455712202,0.160183289,0.597349445,0.918176505,2.470926411,0.532941624
1400000US12011010104,12011010104,0.328006237,0.095867769,0.115725846,0.321477295,0.72969024,1.590767385,0.329369213
1400000US12011010200,12011010200,0.543656207,0.75731648,0.429365311,0.382186708,0.936586791,3.049111499,0.666670336
1400000US12011010304,12011010304,0.686318456,0.959941663,0.795261772,0.261547457,0.767582311,3.470651659,0.764168565
1400000US12011010305,12011010305,0.727343598,0.573359261,0.43843229,0.0344962,0.423436587,2.197067935,0.469600763
1400000US12011010306,12011010306,0.769148314,0.879144385,0.661401969,0.180179302,0.650301968,3.140175939,0.687732674
1400000US12011010307,12011010307,0.818748782,0.884103063,0.800428975,0.065289417,0.59672706,3.165297297,0.693543006
1400000US12011010308,12011010308,0.118397973,0.177540107,0.390075071,0.187487819,0.212156634,1.085657603,0.212542125
1400000US12011010401,12011010401,0.407717794,0.639086048,0.126060252,0.548625999,0.134132086,1.855622178,0.390627607
1400000US12011010402,12011010402,0.583219645,0.312202236,0.444671931,0.831124537,0.916423144,3.087641494,0.675581957
1400000US12011010403,12011010403,0.683979731,0.185318425,0.455103832,0.946501657,0.984122346,3.25502599,0.714296399
1400000US12011010405,12011010405,0.426427597,0.866407389,0.555815541,0.406743325,0.619228521,2.874622373,0.626312661
1400000US12011010406,12011010406,0.331319431,0.205930967,0.197133665,0.443480803,0.085135398,1.263000265,0.253559795
